sentence,neg,neu,pos,compound
"This was fun for a while, but he essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction.",0.0,0.888,0.112,0.2846
"Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her ""line.""",0.124,0.777,0.099,-0.1779
"""This son of mine,"" he heard her tell a room full of awestruck, admiring women one day, ""is entirely sophisticated and quite charmingbut delicatewe're all delicate here, you know.""",0.0,0.765,0.235,0.7713
"Her hand was radiantly outlined against her beautiful bosom then sinking her voice to a whisper, she told them of the apricot cordial.",0.0,0.669,0.331,0.8555
"They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara....",0.099,0.767,0.134,0.0258
"These domestic pilgrimages were invariably in state two maids, the private car, or Mr. Blaine when available, and very often a physician.",0.0,1.0,0.0,0.0
"When Amory had the whoopingcough four disgusted specialists glared at each other hunched around his bed when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen.",0.101,0.861,0.039,-0.4767
"However, blood being thicker than broth, he was pulled through.",0.0,1.0,0.0,0.0
The Blaines were attached to no city.,0.268,0.732,0.0,-0.296
"They were the Blaines of Lake Geneva they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod.",0.0,0.893,0.107,0.4767
"But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, that it was necessary for her to repeat at regular intervals.",0.0,0.87,0.13,0.7427
"Like Freudian dreams, they must be thrown off, else they would sweep in and lay siege to her nerves.",0.062,0.708,0.23,0.5859
"But Beatrice was critical about American women, especially the floating population of exWesterners.",0.197,0.803,0.0,-0.4497
"""They have accents, my dear,"" she told Amory, ""not Southern accents or Boston accents, not an accent attached to any locality, just an accent""she became dreamy.",0.0,1.0,0.0,0.0
"""They pick up old, motheaten London accents that are down on their luck and have to be used by some one.",0.0,0.87,0.13,0.4588
"They talk as an English butler might after several years in a Chicago grandopera company.""",0.0,1.0,0.0,0.0
"She became almost incoherent""Supposetime in every Western woman's lifeshe feels her husband is prosperous enough for her to haveaccentthey try to impress me, my dear"" Though she thought of her body as a mass of frailties, she considered her soul quite as ill, and therefore important in her life.",0.055,0.761,0.184,0.7447
"She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude.",0.139,0.763,0.097,-0.1531
"Often she deplored the bourgeois quality of the American Catholic clergy, and was quite sure that had she lived in the shadow of the great Continental cathedrals her soul would still be a thin flame on the mighty altar of Rome.",0.0,0.85,0.15,0.7713
"Still, next to doctors, priests were her favorite sport.",0.0,0.727,0.273,0.4588
"""Ah, Bishop Wiston,"" she would declare, ""I do not want to talk of myself.",0.086,0.914,0.0,-0.0572
"I can imagine the stream of hysterical women fluttering at your doors, beseeching you to be simpatico""then after an interlude filled by the clergyman""but my moodisoddly dissimilar.""",0.042,0.958,0.0,-0.0258
Only to bishops and above did she divulge her clerical romance.,0.0,0.735,0.265,0.5574
"When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchantthey had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness.",0.0,0.734,0.266,0.9201
"Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was nowMonsignor Darcy.",0.136,0.864,0.0,-0.6249
"""Indeed, Mrs. Blaine, he is still delightful companyquite the cardinal's righthand man.""",0.0,0.743,0.257,0.5859
"""Amory will go to him one day, I know,"" breathed the beautiful lady, ""and Monsignor Darcy will understand him as he understood me.""",0.0,0.843,0.157,0.5994
"Amory became thirteen, rather tall and slender, and more than ever on to his Celtic mother.",0.0,1.0,0.0,0.0
"He had tutored occasionallythe idea being that he was to ""keep up,"" at each place ""taking up the work where he left off,"" yet as no tutor ever found the place he left off, his mind was still in very good shape.",0.048,0.881,0.07,0.2484
What a few more years of this life would have made of him is problematical.,0.177,0.823,0.0,-0.4215
"However, four hours out from land, Italy bound, with Beatrice, his appendix burst, probably from too many meals in bed, and after a series of frantic telegrams to Europe and America, to the amazement of the passengers the great ship slowly wheeled around and returned to New York to deposit Amory at the pier.",0.048,0.826,0.126,0.6908
You will admit that if it was not life it was magnificent.,0.0,0.637,0.363,0.6908
"After the operation Beatrice had a nervous breakdown that bore a suspicious resemblance to delirium tremens, and Amory was left in Minneapolis, destined to spend the ensuing two years with his aunt and uncle.",0.185,0.815,0.0,-0.6808
"There the crude, vulgar air of Western civilization first catches himin his underwear, so to speak.",0.198,0.802,0.0,-0.5719
A KISS FOR AMORY His lip curled when he read it.,0.0,0.718,0.282,0.5473
"""I am going to have a bobbing party,"" it said, ""on Thursday, December the seventeenth, at five o'clock, and I would like it very much if you could come.",0.0,0.912,0.088,0.3612
"Yours truly, R.S.V.P.",0.0,0.408,0.592,0.4404
Myra St. Claire.,0.0,1.0,0.0,0.0
"He had been two months in Minneapolis, and his chief struggle had been the concealing from ""the other guys at school"" how particularly superior he felt himself to be, yet this conviction was built upon shifting sands.",0.056,0.852,0.092,0.3597
"He had shown off one day in French class he was in senior French class to the utter confusion of Mr. Reardon, whose accent Amory damned contemptuously, and to the delight of the class.",0.195,0.713,0.093,-0.5106
"Mr. Reardon, who had spent several weeks in Paris ten years before, took his revenge on the verbs, whenever he had his book open.",0.129,0.871,0.0,-0.5267
"But another time Amory showed off in history class, with quite disastrous results, for the boys there were his own age, and they shrilled innuendoes at each other all the following week ""AwI b'lieve, doncherknow, the Umuricun revolution was lawgely an affair of the middul clawses,"" or ""Washington came of very good bloodaw, quite goodI b'lieve.""",0.09,0.843,0.067,-0.3612
Amory ingeniously tried to retrieve himself by blundering on purpose.,0.0,1.0,0.0,0.0
"Two years before he had commenced a history of the United States which, though it only got as far as the Colonial Wars, had been pronounced by his mother completely enchanting.",0.105,0.814,0.081,-0.2023
"His chief disadvantage lay in athletics, but as soon as he discovered that it was the touchstone of power and popularity at school, he began to make furious, persistent efforts to excel in the winter sports, and with his ankles aching and bending in spite of his efforts, he skated valiantly around the Lorelie rink every afternoon, wondering how soon he would be able to carry a hockeystick without getting it inexplicably tangled in his skates.",0.17,0.742,0.088,-0.8271
"The invitation to Miss Myra St. Claire's bobbing party spent the morning in his coat pocket, where it had an intense physical affair with a dusty piece of peanut brittle.",0.051,0.823,0.127,0.34
"During the afternoon he brought it to light with a sigh, and after some consideration and a preliminary draft in the back of Collar and Daniel's ""FirstYear Latin,"" composed an answer My dear Miss St. Claire Your truly charming envitation for the evening of next Thursday evening was truly delightful to receive this morning.",0.025,0.706,0.268,0.9382
I will be charm and inchanted indeed to present my compliments on next Thursday evening.,0.0,0.69,0.31,0.6597
"Faithfully, Amory Blaine.",0.0,0.417,0.583,0.4215
"On Thursday, therefore, he walked pensively along the slippery, shovelscraped sidewalks, and came in sight of Myra's house, on the halfhour after five, a lateness which he fancied his mother would have favored.",0.0,0.917,0.083,0.4215
"He waited on the doorstep with his eyes nonchalantly halfclosed, and planned his entrance with precision.",0.0,1.0,0.0,0.0
"He would cross the floor, not too hastily, to Mrs. St. Claire, and say with exactly the correct modulation ""My dear Mrs. St. Claire, I'm frightfully sorry to be late, but my maid""he paused there and realized he would be quoting""but my uncle and I had to see a fellaYes, I've met your enchanting daughter at dancingschool.""",0.053,0.915,0.032,-0.0516
"Then he would shake hands, using that slight, halfforeign bow, with all the starchy little females, and nod to the fellas who would be standing 'round, paralyzed into rigid groups for mutual protection.",0.094,0.906,0.0,-0.296
A butler one of the three in Minneapolis swung open the door.,0.0,1.0,0.0,0.0
Amory stepped inside and divested himself of cap and coat.,0.0,1.0,0.0,0.0
"He was mildly surprised not to hear the shrill squawk of conversation from the next room, and he decided it must be quite formal.",0.0,0.924,0.076,0.2263
He approved of thatas he approved of the butler.,0.0,0.556,0.444,0.6808
"""Miss Myra,"" he said.",0.348,0.652,0.0,-0.1531
To his surprise the butler grinned horribly.,0.293,0.345,0.362,-0.0516
"""Oh, yeah,"" he declared, ""she's here.""",0.0,1.0,0.0,0.0
He was unaware that his failure to be cockney was ruining his standing.,0.415,0.585,0.0,-0.7269
Amory considered him coldly.,0.0,1.0,0.0,0.0
"""But,"" continued the butler, his voice rising unnecessarily, ""she's the only one what is here.",0.0,1.0,0.0,0.0
"The party's gone.""",0.0,1.0,0.0,0.0
Amory gasped in sudden horror.,0.481,0.519,0.0,-0.5719
"""What?""",0.0,1.0,0.0,0.0
"""She's been waitin' for Amory Blaine.",0.0,1.0,0.0,0.0
"That's you, ain't it?",0.0,1.0,0.0,0.0
"Her mother says that if you showed up by fivethirty you two was to go after 'em in the Packard.""",0.0,1.0,0.0,0.0
"Amory's despair was crystallized by the appearance of Myra herself, bundled to the ears in a polo coat, her face plainly sulky, her voice pleasant only with difficulty.",0.198,0.701,0.101,-0.296
"""'Lo, Amory.""",0.0,1.0,0.0,0.0
"""'Lo, Myra.""",0.0,1.0,0.0,0.0
He had described the state of his vitality.,0.0,0.753,0.247,0.3182
"""Wellyou got here, anyways.""",0.0,1.0,0.0,0.0
"""WellI'll tell you.",0.0,1.0,0.0,0.0
"I guess you don't know about the auto accident,"" he romanced.",0.0,0.738,0.262,0.4939
Myra's eyes opened wide.,0.0,1.0,0.0,0.0
"""Who was it to?""",0.0,1.0,0.0,0.0
"""Well,"" he continued desperately, ""uncle 'n aunt 'n I.""",0.245,0.755,0.0,-0.3818
"""Was any one killed?""",0.0,1.0,0.0,0.0
Amory paused and then nodded.,0.0,1.0,0.0,0.0
"""Your uncle?""alarm.",0.0,1.0,0.0,0.0
"""Oh, no just a horsea sorta gray horse.""",0.268,0.732,0.0,-0.296
At this point the Erse butler snickered.,0.0,1.0,0.0,0.0
"""Probably killed the engine,"" he suggested.",0.474,0.526,0.0,-0.6705
Amory would have put him on the rack without a scruple.,0.0,1.0,0.0,0.0
"""We'll go now,"" said Myra coolly.",0.0,1.0,0.0,0.0
"""You see, Amory, the bobs were ordered for five and everybody was here, so we couldn't wait"" ""Well, I couldn't help it, could I?""",0.093,0.907,0.0,-0.3089
"""So mama said for me to wait till ha'past five.",0.0,1.0,0.0,0.0
"We'll catch the bobs before it gets to the Minnehaha Club, Amory.""",0.0,1.0,0.0,0.0
Amory's shredded poise dropped from him.,0.0,1.0,0.0,0.0
"He pictured the happy party jingling along snowy streets, the appearance of the limousine, the horrible public descent of him and Myra before sixty reproachful eyes, his apologya real one this time.",0.09,0.746,0.165,0.4404
He sighed aloud.,0.0,1.0,0.0,0.0
"""What?""",0.0,1.0,0.0,0.0
inquired Myra.,0.0,1.0,0.0,0.0
"""Nothing.",0.0,1.0,0.0,0.0
I was just yawning.,0.0,1.0,0.0,0.0
"Are we going to surely catch up with 'em before they get there?""",0.0,0.805,0.195,0.4404
"He was encouraging a faint hope that they might slip into the Minnehaha Club and meet the others there, be found in blas seclusion before the fire and quite regain his lost attitude.",0.126,0.713,0.16,0.3262
"""Oh, sure Mike, we'll catch 'em all rightlet's hurry.""",0.0,0.777,0.223,0.3182
He became conscious of his stomach.,0.0,1.0,0.0,0.0
As they stepped into the machine he hurriedly slapped the paint of diplomacy over a rather boxlike plan he had conceived.,0.0,1.0,0.0,0.0
"It was based upon some ""tradelasts"" gleaned at dancingschool, to the effect that he was ""awful goodlooking and English, sort of.""",0.13,0.87,0.0,-0.4588
"""Myra,"" he said, lowering his voice and choosing his words carefully, ""I beg a thousand pardons.",0.113,0.678,0.209,0.1779
"Can you ever forgive me?""",0.0,0.656,0.344,0.2732
"She regarded him gravely, his intent green eyes, his mouth, that to her thirteenyearold, arrowcollar taste was the quintessence of romance.",0.1,0.757,0.143,0.2732
"Yes, Myra could forgive him very easily.",0.0,0.348,0.652,0.7574
"""Whyyessure.""",0.0,1.0,0.0,0.0
"He looked at her again, and then dropped his eyes.",0.0,1.0,0.0,0.0
He had lashes.,0.0,1.0,0.0,0.0
"""I'm awful,"" he said sadly.",0.412,0.588,0.0,-0.4215
"""I'm diff'runt.",0.0,1.0,0.0,0.0
I don't know why I make faux pas.,0.0,1.0,0.0,0.0
"'Cause I don't care, I s'pose.""",0.467,0.533,0.0,-0.3875
"Then, recklessly ""I been smoking too much.",0.0,1.0,0.0,0.0
"I've got t'bacca heart.""",0.0,1.0,0.0,0.0
"Myra pictured an allnight tobacco debauch, with Amory pale and reeling from the effect of nicotined lungs.",0.0,1.0,0.0,0.0
She gave a little gasp.,0.0,1.0,0.0,0.0
"""Oh, Amory, don't smoke.",0.0,1.0,0.0,0.0
"You'll stunt your growth!""",0.0,1.0,0.0,0.0
"""I don't care,"" he persisted gloomily.",0.0,1.0,0.0,0.0
"""I gotta.",0.0,1.0,0.0,0.0
I got the habit.,0.0,1.0,0.0,0.0
"I've done a lot of things that if my fambly knew""he hesitated, giving her imagination time to picture dark horrors""I went to the burlesque show last week.""",0.08,0.836,0.084,0.0258
Myra was quite overcome.,0.0,1.0,0.0,0.0
He turned the green eyes on her again.,0.0,1.0,0.0,0.0
"""You're the only girl in town I like much,"" he exclaimed in a rush of sentiment.",0.0,0.839,0.161,0.3612
"""You're simpatico.""",0.0,1.0,0.0,0.0
"Myra was not sure that she was, but it sounded stylish though vaguely improper.",0.102,0.898,0.0,-0.1232
"Thick dusk had descended outside, and as the limousine made a sudden turn she was jolted against him their hands touched.",0.0,1.0,0.0,0.0
"""You shouldn't smoke, Amory,"" she whispered.",0.0,1.0,0.0,0.0
"""Don't you know that?""",0.0,1.0,0.0,0.0
He shook his head.,0.318,0.682,0.0,-0.1027
"""Nobody cares.""",0.0,1.0,0.0,0.0
Myra hesitated.,0.697,0.303,0.0,-0.3182
"""I care.""",0.0,1.0,0.0,0.0
Something stirred within Amory.,0.0,1.0,0.0,0.0
"""Oh, yes, you do!",0.0,0.501,0.499,0.4574
You got a crush on Froggy Parker.,0.242,0.758,0.0,-0.1531
"I guess everybody knows that.""",0.0,1.0,0.0,0.0
"""No, I haven't,"" very slowly.",0.0,1.0,0.0,0.0
"A silence, while Amory thrilled.",0.0,0.508,0.492,0.4404
"There was something fascinating about Myra, shut away here cosily from the dim, chill air.",0.0,0.8,0.2,0.5423
"Myra, a little bundle of clothes, with strands of yellow hair curling out from under her skating cap.",0.0,1.0,0.0,0.0
"""Because I've got a crush, too"" He paused, for he heard in the distance the sound of young laughter, and, peering through the frosted glass along the lamplit street, he made out the dark outline of the bobbing party.",0.038,0.824,0.139,0.6486
He must act quickly.,0.0,1.0,0.0,0.0
"He reached over with a violent, jerky effort, and clutched Myra's handher thumb, to be exact.",0.213,0.71,0.077,-0.5423
"""Tell him to go to the Minnehaha straight,"" he whispered.",0.0,1.0,0.0,0.0
"""I wanta talk to youI got to talk to you.""",0.0,1.0,0.0,0.0
"Myra made out the party ahead, had an instant vision of her mother, and thenalas for conventionglanced into the eyes beside.",0.0,0.802,0.198,0.5719
"""Turn down this side street, Richard, and drive straight to the Minnehaha Club!""",0.0,0.846,0.154,0.2942
she cried through the speaking tube.,0.342,0.658,0.0,-0.3818
Amory sank back against the cushions with a sigh of relief.,0.0,0.656,0.344,0.4939
"""I can kiss her,"" he thought.",0.0,0.641,0.359,0.4215
"""I'll bet I can.",0.0,1.0,0.0,0.0
"I'll bet I can!""",0.0,1.0,0.0,0.0
"Overhead the sky was half crystalline, half misty, and the night around was chill and vibrant with rich tension.",0.091,0.632,0.277,0.6908
"From the Country Club steps the roads stretched away, dark creases on the white blanket huge heaps of snow lining the sides like the tracks of giant moles.",0.0,0.844,0.156,0.5859
"They lingered for a moment on the steps, and watched the white holiday moon.",0.0,0.816,0.184,0.4019
"""Pale moons like that one""Amory made a vague gesture""make people mysterieuse.",0.118,0.672,0.21,0.2732
"You look like a young witch with her cap off and her hair sorta mussed""her hands clutched at her hair""Oh, leave it, it looks good.""",0.136,0.772,0.092,-0.0516
"They drifted up the stairs and Myra led the way into the little den of his dreams, where a cosy fire was burning before a big sinkdown couch.",0.082,0.825,0.093,0.0772
"A few years later this was to be a great stage for Amory, a cradle for many an emotional crisis.",0.172,0.588,0.239,0.1531
Now they talked for a moment about bobbing parties.,0.0,0.722,0.278,0.4019
"""There's always a bunch of shy fellas,"" he commented, ""sitting at the tail of the bob, sorta lurkin' an' whisperin' an' pushin' each other off.",0.08,0.92,0.0,-0.25
"Then there's always some crazy crosseyed girl""he gave a terrifying imitation""she's always talkin' hard, sorta, to the chaperon.""",0.349,0.651,0.0,-0.7579
"""You're such a funny boy,"" puzzled Myra.",0.198,0.465,0.337,0.296
"""How d'y' mean?""",0.0,1.0,0.0,0.0
"Amory gave immediate attention, on his own ground at last.",0.0,1.0,0.0,0.0
"""Ohalways talking about crazy things.",0.375,0.625,0.0,-0.34
"Why don't you come skiing with Marylyn and I tomorrow?""",0.0,1.0,0.0,0.0
"""I don't like girls in the daytime,"" he said shortly, and then, thinking this a bit abrupt, he added ""But I like you.""",0.182,0.818,0.0,-0.4973
He cleared his throat.,0.0,0.682,0.318,0.1027
"""I like you first and second and third.""",0.0,0.737,0.263,0.3612
Myra's eyes became dreamy.,0.0,1.0,0.0,0.0
What a story this would make to tell Marylyn!,0.0,1.0,0.0,0.0
Here on the couch with this wonderfullooking boythe little firethe sense that they were alone in the great building Myra capitulated.,0.08,0.757,0.163,0.4767
The atmosphere was too appropriate.,0.0,1.0,0.0,0.0
"""I like you the first twentyfive,"" she confessed, her voice trembling, ""and Froggy Parker twentysixth.""",0.139,0.722,0.139,0.0
Froggy had fallen twentyfive places in one hour.,0.263,0.737,0.0,-0.3612
As yet he had not even noticed it.,0.0,1.0,0.0,0.0
"But Amory, being on the spot, leaned over quickly and kissed Myra's cheek.",0.0,0.779,0.221,0.5267
"He had never kissed a girl before, and he tasted his lips curiously, as if he had munched some new fruit.",0.103,0.897,0.0,-0.2924
Then their lips brushed like young wild flowers in the wind.,0.0,0.8,0.2,0.3612
"""We're awful,"" rejoiced Myra gently.",0.0,0.333,0.667,0.7184
"She slipped her hand into his, her head drooped against his shoulder.",0.0,0.775,0.225,0.4939
"Sudden revulsion seized Amory, disgust, loathing for the whole incident.",0.487,0.513,0.0,-0.8225
"He desired frantically to be away, never to see Myra again, never to kiss any one he became conscious of his face and hers, of their clinging hands, and he wanted to creep out of his body and hide somewhere safe out of sight, up in the corner of his mind.",0.112,0.801,0.087,-0.1109
"""Kiss me again.""",0.0,0.417,0.583,0.4215
Her voice came out of a great void.,0.0,0.594,0.406,0.6249
"""I don't want to,"" he heard himself saying.",0.149,0.851,0.0,-0.0572
There was another pause.,0.0,1.0,0.0,0.0
"""I don't want to!""",0.335,0.665,0.0,-0.1316
he repeated passionately.,0.0,0.37,0.63,0.5267
"Myra sprang up, her cheeks pink with bruised vanity, the great bow on the back of her head trembling sympathetically.",0.173,0.667,0.161,0.1779
"""I hate you!""",0.666,0.334,0.0,-0.6114
she cried.,0.722,0.278,0.0,-0.3818
"""Don't you ever dare to speak to me again!""",0.0,1.0,0.0,0.0
"""What?""",0.0,1.0,0.0,0.0
stammered Amory.,0.655,0.345,0.0,-0.2263
"""I'll tell mama you kissed me!",0.0,0.634,0.366,0.4389
I will too!,0.0,1.0,0.0,0.0
I will too!,0.0,1.0,0.0,0.0
"I'll tell mama, and she won't let me play with you!""",0.189,0.811,0.0,-0.3244
"Amory rose and stared at her helplessly, as though she were a new animal of whose presence on the earth he had not heretofore been aware.",0.091,0.909,0.0,-0.34
"The door opened suddenly, and Myra's mother appeared on the threshold, fumbling with her lorgnette.",0.0,1.0,0.0,0.0
"""Well,"" she began, adjusting it benignantly, ""the man at the desk told me you two children were up hereHow do you do, Amory.""",0.0,0.913,0.087,0.2732
Amory watched Myra and waited for the crashbut none came.,0.0,1.0,0.0,0.0
"The pout faded, the high pink subsided, and Myra's voice was placid as a summer lake when she answered her mother.",0.0,1.0,0.0,0.0
"""Oh, we started so late, mama, that I thought we might as well"" He heard from below the shrieks of laughter, and smelled the vapid odor of hot chocolate and teacakes as he silently followed mother and daughter downstairs.",0.0,0.872,0.128,0.6486
"The sound of the graphophone mingled with the voices of many girls humming the air, and a faint glow was born and spread over him ""CaseyJonesmounted to the cabun CaseyJones'th his orders in his hand.",0.0,0.912,0.088,0.4939
"CaseyJonesmounted to the cabun Took his farewell journey to the promised land.""",0.0,0.815,0.185,0.3612
SNAPSHOTS OF THE YOUNG EGOTIST Amory spent nearly two years in Minneapolis.,0.268,0.732,0.0,-0.6166
"The first winter he wore moccasins that were born yellow, but after many applications of oil and dirt assumed their mature color, a dirty, greenish brown he wore a gray plaid mackinaw coat, and a red toboggan cap.",0.163,0.75,0.087,-0.5023
"His dog, Count Del Monte, ate the red cap, so his uncle gave him a gray one that pulled down over his face.",0.0,1.0,0.0,0.0
The trouble with this one was that you breathed into it and your breath froze one day the darn thing froze his cheek.,0.109,0.891,0.0,-0.4019
"He rubbed snow on his cheek, but it turned bluishblack just the same.",0.0,1.0,0.0,0.0
"The Count Del Monte ate a box of bluing once, but it didn't hurt him.",0.0,0.78,0.22,0.5667
"Later, however, he lost his mind and ran madly up the street, bumping into fences, rolling in gutters, and pursuing his eccentric course out of Amory's life.",0.167,0.833,0.0,-0.6124
Amory cried on his bed.,0.394,0.606,0.0,-0.3818
"""Poor little Count,"" he cried.",0.644,0.356,0.0,-0.6637
"""Oh, poor little Count!""",0.531,0.469,0.0,-0.5255
After several months he suspected Count of a fine piece of emotional acting.,0.133,0.629,0.238,0.128
"Amory and Frog Parker considered that the greatest line in literature occurred in Act III of ""Arsene Lupin.""",0.0,0.802,0.198,0.6369
They sat in the first row at the Wednesday and Saturday matinees.,0.0,1.0,0.0,0.0
"The line was ""If one can't be a great artist or a great soldier, the next best thing is to be a great criminal.""",0.318,0.547,0.135,-0.689
"Amory fell in love again, and wrote a poem.",0.0,0.625,0.375,0.6369
"This was it ""Marylyn and Sallee, Those are the girls for me.",0.0,1.0,0.0,0.0
"Marylyn stands above Sallee in that sweet, deep love.""",0.0,0.727,0.273,0.4588
"He was interested in whether McGovern of Minnesota would make the first or second AllAmerican, how to do the cardpass, how to do the coinpass, chameleon ties, how babies were born, and whether Threefingered Brown was really a better pitcher than Christie Mathewson.",0.0,0.872,0.128,0.7089
"Among other things he read ""For the Honor of the School,"" ""Little Women"" twice, ""The Common Law,"" ""Sapho,"" ""Dangerous Dan McGrew,"" ""The Broad Highway"" three times, ""The Fall of the House of Usher,"" ""Three Weeks,"" ""Mary Ware, the Little Colonel's Chum,"" ""Gunga Din,"" The Police Gazette, and JimJam Jems.",0.058,0.882,0.06,0.0258
"He had all the Henty biasses in history, and was particularly fond of the cheerful murder stories of Mary Roberts Rinehart.",0.16,0.612,0.228,0.2484
School ruined his French and gave him a distaste for standard authors.,0.237,0.763,0.0,-0.4767
"His masters considered him idle, unreliable and superficially clever.",0.0,0.727,0.273,0.4588
He collected locks of hair from many girls.,0.0,1.0,0.0,0.0
He wore the rings of several.,0.0,1.0,0.0,0.0
"Finally he could borrow no more rings, owing to his nervous habit of chewing them out of shape.",0.212,0.788,0.0,-0.5106
"This, it seemed, usually aroused the jealous suspicions of the next borrower.",0.355,0.645,0.0,-0.6705
All through the summer months Amory and Frog Parker went each week to the Stock Company.,0.0,1.0,0.0,0.0
"Afterward they would stroll home in the balmy air of August night, dreaming along Hennepin and Nicollet Avenues, through the gay crowd.",0.0,1.0,0.0,0.0
